,knuder,tid
0,15,6.870000157505274e-05
1,30,0.0002760120015591383
2,45,0.0003499319963157177
3,60,0.0007341599988285452
4,85,0.0014385199989192187
5,100,0.0019090959976892918
6,125,0.0021885360032320024
7,150,0.004213004000484943
8,175,0.005549040000187233
9,200,0.006456440003821626
10,250,0.011298512000357731
11,300,0.018272851997753605
12,350,0.02124171200324781
13,400,0.027096963997464626
14,450,0.027960571999428793
