,knuder,tid
0,15,4.105200059711933e-05
1,30,8.030800032429397e-05
2,45,0.00011132399667985737
3,60,0.00013239600113593042
4,85,0.00021618800004944206
5,100,0.00023866400122642516
6,125,0.0002729160012677312
7,150,0.0003333240014035255
8,175,0.00041722800000570714
9,200,0.00043440400040708484
10,250,0.0006047280004713684
11,300,0.0007349159999284893
12,350,0.0009131320030428469
13,400,0.0011966920003760606
14,450,0.0012803319981321692
